,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
E[94],-0.5074,0.2982,-1.0705,0.0707,0.0026,0.0041,13067.1676,8948.4215,1.0012
E[95],-0.5098,0.2901,-1.0567,0.0479,0.0028,0.0037,10961.1213,9134.1365,1.0015
E[96],-0.5125,0.291,-1.0725,0.0356,0.0027,0.0038,11569.2278,8281.3892,1.0012
E[97],-0.5118,0.292,-1.0618,0.048,0.0026,0.0041,12614.1305,10255.2526,1.0019
E[98],-0.5104,0.2897,-1.0651,0.0466,0.0027,0.0037,11111.7966,8862.2194,1.0006
E[99],-0.5089,0.2957,-1.0778,0.0416,0.0024,0.0036,14605.0915,8712.5076,1.0006
E[100],-0.5091,0.2907,-1.0727,0.0169,0.0028,0.0038,10974.9755,9494.2626,1.0011
E[101],-0.5117,0.2929,-1.0829,0.0417,0.0028,0.0036,10928.1519,9621.056,1.0013
E[102],-0.5088,0.2882,-1.0486,0.0483,0.0027,0.0034,11514.0426,9625.4653,1.0005
E[103],-0.5105,0.2931,-1.0446,0.0744,0.0025,0.0045,14159.8052,8144.1563,1.0015
E[104],-0.5109,0.2934,-1.0351,0.0831,0.0026,0.0037,13173.5118,10239.4768,1.0008
E[105],-0.5099,0.2906,-1.039,0.0777,0.0026,0.0037,13033.9727,7934.877,1.0007
E[106],-0.5082,0.2922,-1.0663,0.0417,0.0027,0.0037,12428.6495,9772.1829,1.0011
E[107],-0.5089,0.2908,-1.0671,0.0458,0.0027,0.0038,12041.1792,8702.8843,1.0013
E[108],-0.5083,0.2945,-1.0789,0.0457,0.0027,0.0043,12179.2884,9360.2016,1.0022
E[109],-0.5084,0.2945,-1.0546,0.0581,0.0026,0.0042,13038.5174,9228.2059,1.0013
E[110],-0.5093,0.292,-1.0601,0.0493,0.0025,0.0036,13407.6438,9266.7388,1.0013
E[111],-0.5129,0.2917,-1.0366,0.0819,0.0025,0.0042,13223.8285,8603.4482,1.0021
E[112],-0.51,0.2922,-1.0662,0.0505,0.0029,0.0042,10459.2778,7430.269,1.0018
E[113],-0.5094,0.2895,-1.0876,0.0246,0.0027,0.0038,11655.0832,8867.8051,1.0013
E[114],-0.5102,0.2946,-1.0763,0.0543,0.0027,0.0039,11516.0183,9552.2159,1.0018
E[115],-0.515,0.2924,-1.0365,0.0884,0.0026,0.0038,12620.897,9380.6882,1.0012
E[116],-0.5088,0.2973,-1.0588,0.0796,0.0024,0.0042,15129.8437,8947.3848,1.0023
E[117],-0.5087,0.2915,-1.0731,0.0433,0.0024,0.0041,14257.5245,8805.9048,1.0011
E[118],-0.5084,0.2901,-1.0418,0.0576,0.0027,0.0035,11745.7533,8952.2679,1.0003
E[119],-0.5074,0.292,-1.0404,0.0691,0.0026,0.0037,13148.8589,9505.3818,1.0018
E[120],-0.511,0.289,-1.0525,0.0559,0.0025,0.0039,13195.7512,7247.4629,1.0017
E[121],-0.5079,0.2895,-1.0632,0.0437,0.0025,0.0039,13916.9279,9525.1255,1.0015
E[122],-0.5107,0.2953,-1.0699,0.0523,0.0029,0.0039,10639.3691,8688.2854,1.0011
E[123],-0.5093,0.2918,-1.0434,0.081,0.0024,0.004,14150.1125,9544.7459,1.0016
E[124],-0.5097,0.2935,-1.0734,0.0362,0.0027,0.0044,11875.1809,7400.2346,1.0009
E[125],-0.5075,0.2876,-1.0498,0.0497,0.0026,0.0036,12415.4238,9697.5441,1.0017
E[126],-0.5093,0.2893,-1.0665,0.0399,0.0026,0.0037,12237.4734,7586.8035,1.0007
E[127],-0.5105,0.2943,-1.0731,0.0519,0.0028,0.0038,11398.9096,8501.2505,1.0006
E[128],-0.5076,0.2991,-1.0688,0.0656,0.0027,0.0039,12135.2911,8363.4565,1.001
E[129],-0.5085,0.2917,-1.0608,0.0563,0.0025,0.004,13502.1155,9579.6278,1.0019
E[130],-0.5095,0.2935,-1.067,0.0565,0.0025,0.0044,13474.4798,8732.8813,1.0032
E[131],-0.5099,0.2972,-1.054,0.0784,0.0027,0.0037,12388.0807,8680.5882,1.0005
E[132],-0.5072,0.2947,-1.0591,0.0718,0.0026,0.0039,13110.8611,9877.9769,1.0012
E[133],-0.51,0.2922,-1.0538,0.0496,0.0024,0.004,14514.581,8741.3671,1.0003
E[134],-0.5107,0.2918,-1.0474,0.0724,0.0029,0.0037,10416.9221,9697.6033,1.0006
E[135],-0.5093,0.2897,-1.0567,0.0441,0.0028,0.0039,10786.7256,8838.4057,1.0008
E[136],-0.5097,0.2906,-1.052,0.0548,0.0026,0.0036,12548.6815,10374.7023,1.0008
E[137],-0.5098,0.2896,-1.0476,0.0511,0.0027,0.004,11262.2543,9175.0458,1.0009
E[138],-0.5097,0.2867,-1.0467,0.0372,0.0024,0.0041,14512.1002,9623.8334,1.0018
E[139],-0.5078,0.2854,-1.0353,0.0432,0.0026,0.0036,11804.6222,9268.1714,1.0007
E[140],-0.5092,0.2914,-1.0626,0.048,0.0027,0.0035,11642.4152,9690.0734,1.0023
E[141],-0.5079,0.2923,-1.0492,0.0664,0.0026,0.0044,12547.1399,9080.1539,1.0026
E[142],-0.5109,0.2932,-1.0643,0.0576,0.0027,0.0039,11771.1893,7515.3304,1.0006
E[143],-0.5073,0.2886,-1.0649,0.0345,0.0027,0.0041,11472.7921,8188.7294,1.0012
E[144],-0.5107,0.2879,-1.0586,0.0435,0.0027,0.0035,10805.3101,9919.7467,1.0006
E[145],-0.5077,0.2896,-1.0632,0.0449,0.0028,0.0035,10953.4998,9591.8703,1.0008
E[146],-0.5074,0.2918,-1.0373,0.083,0.0028,0.0043,10901.1619,7800.4185,1.001
E[147],-0.5084,0.2883,-1.0471,0.0542,0.0024,0.0037,14384.4271,9212.3384,1.0012
E[148],-0.5094,0.2933,-1.0767,0.0461,0.0026,0.004,12395.2097,9845.6252,1.002
E[149],-0.5101,0.2905,-1.0561,0.0495,0.0026,0.0038,12940.5507,9439.2952,1.0011
E[150],-0.5088,0.2953,-1.0725,0.0507,0.0023,0.004,16191.6152,10717.7235,1.0012
E[151],-0.5073,0.2857,-1.0514,0.0359,0.0027,0.0036,11220.8826,10389.6004,1.0009
